cfg,phi,interesting,reason_skipped,K,n_executions,avg_behavior_size,support_min,support_mean,support_max,reduction_from_bottom,compression_from_bottom
"(0, 1, 2, 3, 0, 3, 1, 3)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,1837,2907,26.995184038527693,1,1.582471420794774,6,0.36807705538355695,0.0
"(0, 1, 2, 3, 1, 1, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,196,2907,26.995184038527693,1,14.831632653061224,62,0.9325765393876849,0.0
"(0, 1, 2, 3, 1, 2, 1, 2)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,36,2907,26.995184038527693,1,80.75,493,0.9876160990712074,0.0
"(0, 1, 2, 3, 1, 2, 1, 3)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,108,2907,26.995184038527693,1,26.916666666666668,144,0.9628482972136223,0.0
"(0, 1, 2, 3, 1, 3, 1, 1)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = p_masskg_band  │  hinge: ρ = type  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg,True,,1512,2907,26.995184038527693,1,1.9226190476190477,8,0.47987616099071206,0.0
"(0, 1, 3, 1, 0, 3, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2711,2907,26.995184038527693,1,1.0722980450018444,4,0.06742346061231508,0.0
"(0, 1, 3, 1, 1, 2, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2812,2907,26.995184038527693,1,1.0337837837837838,2,0.0326797385620915,0.0
"(0, 1, 3, 1, 1, 3, 1, 2)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,2845,2907,26.995184038527693,1,1.021792618629174,3,0.021327829377364993,0.0
"(0, 1, 3, 1, 1, 3, 1, 3)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,2725,2907,26.995184038527693,1,1.066788990825688,3,0.06260749914000685,0.0
"(0, 1, 3, 2, 0, 2, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = id  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,1558,2907,26.995184038527693,1,1.8658536585365855,7,0.46405228758169936,0.0
"(0, 1, 3, 2, 0, 3, 1, 2)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,2034,2907,26.995184038527693,1,1.4292035398230087,6,0.30030959752321984,0.0
"(0, 1, 3, 2, 0, 3, 1, 3)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = id  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,983,2907,26.995184038527693,1,2.9572736520854526,9,0.6618507051943585,0.0
"(0, 1, 3, 2, 1, 1, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = p_masskg  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,528,2907,26.995184038527693,1,5.505681818181818,39,0.8183694530443757,0.0
"(0, 1, 3, 2, 1, 2, 1, 2)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,154,2907,26.995184038527693,1,18.876623376623378,232,0.9470244238046096,0.0
"(0, 1, 3, 2, 1, 2, 1, 3)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = SteelCoil,True,,254,2907,26.995184038527693,1,11.44488188976378,102,0.912624699002408,0.0
"(0, 1, 3, 2, 1, 3, 1, 1)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = p_masskg_band  │  hingepack: ρ = type  │  malepart: ρ = type  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg,True,,2207,2907,26.995184038527693,1,1.31717263253285,7,0.24079807361541106,0.0
"(0, 1, 3, 3, 0, 1, 1, 4)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = id  │  malepart: ρ = p_masskg  │  steelpin: ρ = type  │  steelsheet: ρ = type,True,,2591,2907,26.995184038527693,1,1.121960632960247,4,0.10870313037495705,0.0
"(0, 1, 3, 3, 0, 2, 1, 2)",facility: ρ = id  │  femalepart: ρ = type  │  formedpart: ρ = type  │  hinge: ρ = type  │  hingepack: ρ = id  │  malepart: ρ = p_masskg_band  │  steelpin: ρ = type  │  steelsheet: ρ = p_masskg_band,True,,1901,2907,26.995184038527693,1,1.5291951604418728,6,0.3460612315101479,0.0
